frequency,ADC value,25-05-2023-10-00
27,3721
37,3717
47,3718
57,3714
67,3710
77,3707
87,3705
97,3705
107,3705
117,3704
127,3698
137,3692
147,3696
157,3693
167,3685
177,3676
187,3679
197,3678
207,3671
217,3669
227,3672
237,3659
247,3658
257,3659
267,3665
277,3664
287,3665
297,3659
307,3653
317,3654
327,3648
337,3643
347,3639
357,3636
367,3634
377,3633
387,3635
397,3634
407,3633
417,3636
427,3634
437,3632
447,3632
457,3635
467,3643
477,3651
487,3656
497,3647
507,3635
517,3626
527,3618
537,3605
547,3597
557,3591
567,3588
577,3585
587,3577
597,3571
607,3568
617,3563
627,3563
637,3563
647,3562
657,3562
667,3562
677,3562
687,3560
697,3558
707,3555
717,3548
727,3547
737,3548
747,3548
757,3557
767,3560
777,3562
787,3567
797,3571
807,3577
817,3580
827,3580
837,3578
847,3574
857,3572
867,3566
877,3563
887,3556
897,3552
907,3552
917,3553
927,3558
937,3562
947,3568
957,3571
967,3571
977,3567
987,3563
997,3551
1007,3527
1017,3508
1027,3492
1037,3472
1047,3450
1057,3439
1067,3426
1077,3412
1087,3398
1097,3393
1107,3384
1117,3374
1127,3368
1137,3364
1147,3359
1157,3353
1167,3352
1177,3350
1187,3350
1197,3349
1207,3349
1217,3349
1227,3350
1237,3352
1247,3358
1257,3363
1267,3370
1277,3373
1287,3381
1297,3387
1307,3397
1317,3408
1327,3416
1337,3417
1347,3423
1357,3426
1367,3434
1377,3440
1387,3446
1397,3455
1407,3463
1417,3474
1427,3480
1437,3484
1447,3486
1457,3482
1467,3477
1477,3475
1487,3472
1497,3462
1507,3455
1517,3449
1527,3440
1537,3430
1547,3420
1557,3410
1567,3390
1577,3384
1587,3376
1597,3363
1607,3356
1617,3349
1627,3341
1637,3331
1647,3327
1657,3319
1667,3312
1677,3305
1687,3298
1697,3287
1707,3278
1717,3263
1727,3256
1737,3248
1747,3242
1757,3239
1767,3233
1777,3235
1787,3237
1797,3242
1807,3248
1817,3256
1827,3272
1837,3289
1847,3303
1857,3314
1867,3326
1877,3348
1887,3368
1897,3383
1907,3395
1917,3406
1927,3420
1937,3426
1947,3434
1957,3433
1967,3438
1977,3439
1987,3440
1997,3441
2007,3443
2017,3439
2027,3440
2037,3439
2047,3438
2057,3430
2067,3423
2077,3415
2087,3409
2097,3404
2107,3393
2117,3383
2127,3374
2137,3369
2147,3358
2157,3351
2167,3344
2177,3344
2187,3341
2197,3337
2207,3337
2217,3338
2227,3335
2237,3334
2247,3335
2257,3349
2267,3355
2277,3358
2287,3366
2297,3372
2307,3378
2317,3389
2327,3402
2337,3416
2347,3427
2357,3437
2367,3446
2377,3462
2387,3477
2397,3486
2407,3501
2417,3512
2427,3514
2437,3530
2447,3535
2457,3543
2467,3543
2477,3544
2487,3540
2497,3535
2507,3529
2517,3522
2527,3516
2537,3507
2547,3502
2557,3493
2567,3485
2577,3478
2587,3466
2597,3456
2600,3509
