short_x,short_y,match_x,match_y,2_x,2_y,3_x,3_y,4_x,4_y,x0005,y0005
806.,1685.,,,,,,,,,,
807.,1683.,,,,,,,,,,
808.,1681.,,,,,,,,,,
809.,1682.,,,,,,,,,,
810.,1669.,,,,,,,,,,
811.,1676.,,,,,,,,,,
812.,1666.,,,,,,,,,,
813.,1671.,,,,,,,,,,
814.,1674.,,,,,,,,,,
815.,1665.,,,,,,,,,,
816.,1664.,,,,,,,,,,
817.,1661.,,,,,,,,,,
818.,1660.,,,,,,,,,,
819.,1658.,,,,,,,,,,
820.,1671.,,,,,,,,,,
821.,1666.,,,,,,,,,,
822.,1661.,,,,,,,,,,
823.,1660.,,,,,,,,,,
824.,1656.,,,,,,,,,,
825.,1658.,,,,,,,,,,
826.,1655.,,,,,,,,,,
827.,1650.,,,,,,,,,,
828.,1650.,,,,,,,,,,
829.,1648.,,,,,,,,,,
830.,1644.,,,,,,,,,,
831.,1643.,,,,,,,,,,
832.,1640.,,,,,,,,,,
833.,1640.,,,,,,,,,,
834.,1635.,,,,,,,,,,
835.,1631.,,,,,,,,,,
836.,1629.,,,,,,,,,,
837.,1625.,,,,,,,,,,
838.,1621.,,,,,,,,,,
839.,1624.,,,,,,,,,,
840.,1621.,,,,,,,,,,
841.,1615.,,,,,,,,,,
842.,1608.,,,,,,,,,,
843.,1598.,,,,,,,,,,
844.,1585.,,,,,,,,,,
845.,1579.,,,,,,,,,,
846.,1578.,,,,,,,,,,
847.,1573.,,,,,,,,,,
848.,1566.,,,,,,,,,,
849.,1559.,,,,,,,,,,
850.,1551.,,,,,,,,,,
851.,1541.,,,,,,,,,,
852.,1536.,,,,,,,,,,
853.,1531.,,,,,,,,,,
854.,1532.,,,,,,,,,,
855.,1530.,,,,,,,,,,
856.,1526.,,,,,,,,,,
857.,1524.,,,,,,,,,,
858.,1521.,,,,,,,,,,
859.,1519.,,,,,,,,,,
860.,1514.,,,,,,,,,,
861.,1512.,,,,,,,,,,
862.,1506.,,,,,,,,,,
863.,1501.,,,,,,,,,,
864.,1495.,,,,,,,,,,
865.,1483.,,,,,,,,,,
866.,1475.,,,,,,,,,,
867.,1462.,,,,,,,,,,
868.,1457.,,,,,,,,,,
869.,1450.,,,,,,,,,,
870.,1447.,,,,,,,,,,
871.,1439.,,,,,,,,,,
872.,1435.,,,,,,,,,,
873.,1428.,,,,,,,,,,
874.,1415.,,,,,,,,,,
875.,1424.,,,,,,,,,,
876.,1415.,,,,,,,,,,
877.,1406.,,,,,,,,,,
878.,1400.,,,,,,,,,,
879.,1398.,,,,,,,,,,
880.,1392.,,,,,,,,,,
881.,1392.,,,,,,,,,,
882.,1388.,,,,,,,,,,
883.,1388.,,,,,,,,,,
884.,1384.,,,,,,,,,,
885.,1381.,,,,,,,,,,
886.,1379.,,,,,,,,,,
887.,1376.,,,,,,,,,,
888.,1371.,,,,,,,,,,
889.,1366.,,,,,,,,,,
890.,1364.,,,,,,,,,,
891.,1362.,,,,,,,,,,
892.,1356.,,,,,,,,,,
893.,1351.,,,,,,,,,,
894.,1340.,,,,,,,,,,
895.,1346.,,,,,,,,,,
896.,1343.,,,,,,,,,,
897.,1332.,,,,,,,,,,
898.,1332.,,,,,,,,,,
