frequency,ADC value,22-05-2023-15-22
25,3735
125,3727
225,3714
325,3709
425,3684
525,3694
625,3693
725,3677
825,3696
925,3707
1025,3672
1125,3612
1225,3571
1325,3556
1425,3553
1525,3572
1625,3589
1725,3623
1825,3618
1925,3564
2025,3452
2125,3375
2225,3357
2325,3373
2425,3437
2525,3523
2625,3619
2700,3702
