-12dB.csv_x,-12dB.csv_y,-3dB.csv_x,-3dB.csv_y,-6dB.csv_x,-6dB.csv_y,match.csv_x,match.csv_y,short.csv_x,short.csv_y,5_x,5_y
757.,3205.,757.,2277.,757.,2670.,757.,3557.,757.,1746.,173.,3226.
767.,3196.,767.,2222.,767.,2636.,767.,3560.,767.,1659.,174.,3095.
777.,3200.,777.,2195.,777.,2626.,777.,3562.,777.,1588.,175.,2945.
787.,3231.,787.,2198.,787.,2652.,787.,3567.,787.,1537.,176.,2777.
797.,3274.,797.,2221.,797.,2687.,797.,3571.,797.,1515.,177.,2611.
807.,3325.,807.,2284.,807.,2777.,807.,3577.,807.,1497.,178.,2471.
817.,3391.,817.,2337.,817.,2847.,817.,3580.,817.,1477.,179.,2334.
827.,3455.,827.,2411.,827.,2938.,827.,3580.,827.,1485.,180.,2228.
837.,3519.,837.,2473.,837.,3038.,837.,3578.,837.,1437.,181.,2137.
847.,3567.,847.,2502.,847.,3083.,847.,3574.,847.,1345.,182.,2053.
857.,3581.,857.,2479.,857.,3114.,857.,3572.,857.,1270.,183.,1987.
867.,3584.,867.,2422.,867.,3103.,867.,3566.,867.,1178.,184.,1924.
877.,3582.,877.,2379.,877.,3080.,877.,3563.,877.,1066.,185.,1886.
887.,3578.,887.,2361.,887.,3070.,887.,3556.,887.,994.,186.,1860.
897.,3575.,897.,2399.,897.,3071.,897.,3552.,897.,1039.,187.,1845.
907.,3575.,907.,2431.,907.,3076.,907.,3552.,907.,1144.,188.,1871.
917.,3575.,917.,2468.,917.,3083.,917.,3553.,917.,1235.,189.,1866.
927.,3577.,927.,2481.,927.,3086.,927.,3558.,927.,1292.,190.,1868.
937.,3582.,937.,2512.,937.,3110.,937.,3562.,937.,1366.,191.,1866.
947.,3580.,947.,2526.,947.,3120.,947.,3568.,947.,1418.,192.,1869.
957.,3590.,957.,2533.,957.,3117.,957.,3571.,957.,1432.,193.,1880.
967.,3580.,967.,2523.,967.,3099.,967.,3571.,967.,1460.,194.,1888.
977.,3556.,977.,2484.,977.,3058.,977.,3567.,977.,1500.,195.,1897.
987.,3491.,987.,2425.,987.,2985.,987.,3563.,987.,1515.,196.,1906.
997.,3421.,997.,2350.,997.,2892.,997.,3551.,997.,1519.,197.,1920.
1007.,3340.,1007.,2276.,1007.,2798.,1007.,3527.,1007.,1502.,198.,1933.
1017.,3275.,1017.,2176.,1017.,2689.,1017.,3508.,1017.,1453.,199.,1945.
1027.,3195.,1027.,2098.,1027.,2605.,1027.,3492.,1027.,1394.,200.,1958.
1037.,3131.,1037.,2038.,1037.,2545.,1037.,3472.,1037.,1338.,201.,1974.
1047.,3072.,1047.,1973.,1047.,2477.,1047.,3450.,1047.,1279.,202.,1988.
1057.,3036.,1057.,1906.,1057.,2414.,1057.,3439.,1057.,1221.,203.,2004.
1067.,2982.,1067.,1841.,1067.,2350.,1067.,3426.,1067.,1146.,204.,2022.
1077.,2940.,1077.,1789.,1077.,2300.,1077.,3412.,1077.,1096.,205.,2039.
1087.,2917.,1087.,1774.,1087.,2278.,1087.,3398.,1087.,1064.,206.,2050.
1097.,2896.,1097.,1778.,1097.,2259.,1097.,3393.,1097.,1079.,207.,2066.
1107.,2874.,1107.,1782.,1107.,2237.,1107.,3384.,1107.,1136.,208.,2092.
1117.,2860.,1117.,1775.,1117.,2213.,1117.,3374.,1117.,1188.,209.,2126.
1127.,2844.,1127.,1737.,1127.,2178.,1127.,3368.,1127.,1184.,210.,2173.
1137.,2822.,1137.,1703.,1137.,2159.,1137.,3364.,1137.,1143.,211.,2222.
1147.,2816.,1147.,1681.,1147.,2144.,1147.,3359.,1147.,1107.,212.,2281.
1157.,2814.,1157.,1679.,1157.,2145.,1157.,3353.,1157.,1082.,213.,2333.
1167.,2831.,1167.,1696.,1167.,2158.,1167.,3352.,1167.,1084.,214.,2395.
1177.,2861.,1177.,1721.,1177.,2197.,1177.,3350.,1177.,1096.,215.,2440.
1187.,2906.,1187.,1772.,1187.,2250.,1187.,3350.,1187.,1107.,216.,2479.
1197.,2949.,1197.,1822.,1197.,2298.,1197.,3349.,1197.,1148.,217.,2498.
1207.,3010.,1207.,1875.,1207.,2360.,1207.,3349.,1207.,1205.,218.,2512.
1217.,3066.,1217.,1906.,1217.,2426.,1217.,3349.,1217.,1198.,219.,2533.
1227.,3137.,1227.,1947.,1227.,2511.,1227.,3350.,1227.,1137.,220.,2552.
1237.,3217.,1237.,1995.,1237.,2592.,1237.,3352.,1237.,1061.,221.,2587.
1247.,3308.,1247.,2044.,1247.,2699.,1247.,3358.,1247.,990.,222.,2642.
1257.,3378.,1257.,2117.,1257.,2814.,1257.,3363.,1257.,923.,223.,2709.
1267.,3454.,1267.,2206.,1267.,2940.,1267.,3370.,1267.,868.,224.,2791.
1277.,3527.,1277.,2291.,1277.,3062.,1277.,3373.,1277.,831.,225.,2862.
1287.,3577.,1287.,2356.,1287.,3157.,1287.,3381.,1287.,813.,226.,2947.
1297.,3617.,1297.,2411.,1297.,3244.,1297.,3387.,1297.,767.,227.,3042.
1307.,3650.,1307.,2434.,1307.,3300.,1307.,3397.,1307.,732.,228.,3119.
1317.,3676.,1317.,2429.,1317.,3317.,1317.,3408.,1317.,661.,229.,3212.
1327.,3664.,1327.,2407.,1327.,3306.,1327.,3416.,1327.,621.,230.,3305.
1337.,3656.,1337.,2370.,1337.,3271.,1337.,3417.,1337.,523.,231.,3375.
1347.,3638.,1347.,2349.,1347.,3224.,1347.,3423.,1347.,504.,232.,3439.
1357.,3619.,1357.,2355.,1357.,3181.,1357.,3426.,1357.,576.,233.,3472.
1367.,3588.,1367.,2382.,1367.,3131.,1367.,3434.,1367.,738.,234.,3481.
1377.,3568.,1377.,2417.,1377.,3084.,1377.,3440.,1377.,957.,235.,3456.
1387.,3528.,1387.,2439.,1387.,3056.,1387.,3446.,1387.,1181.,236.,3400.
1397.,3490.,1397.,2461.,1397.,3017.,1397.,3455.,1397.,1380.,237.,3325.
1407.,3441.,1407.,2465.,1407.,2969.,1407.,3463.,1407.,1534.,238.,3253.
1417.,3395.,1417.,2456.,1417.,2921.,1417.,3474.,1417.,1660.,239.,3172.
1427.,3345.,1427.,2429.,1427.,2866.,1427.,3480.,1427.,1757.,240.,3085.
1437.,3310.,1437.,2403.,1437.,2812.,1437.,3484.,1437.,1794.,241.,3039.
1447.,3259.,1447.,2358.,1447.,2765.,1447.,3486.,1447.,1823.,242.,2979.
1457.,3213.,1457.,2310.,1457.,2708.,1457.,3482.,1457.,1819.,243.,2928.
1467.,3171.,1467.,2272.,1467.,2659.,1467.,3477.,1467.,1789.,244.,2904.
1477.,3124.,1477.,2211.,1477.,2598.,1477.,3475.,1477.,1749.,245.,2885.
1487.,3079.,1487.,2153.,1487.,2551.,1487.,3472.,1487.,1668.,246.,2862.
1497.,3060.,1497.,2089.,1497.,2505.,1497.,3462.,1497.,1598.,247.,2856.
1507.,3036.,1507.,2050.,1507.,2469.,1507.,3455.,1507.,1562.,248.,2870.
1517.,2999.,1517.,2014.,1517.,2419.,1517.,3449.,1517.,1514.,249.,2891.
1527.,2978.,1527.,1975.,1527.,2392.,1527.,3440.,1527.,1470.,250.,2916.
1537.,2953.,1537.,1935.,1537.,2355.,1537.,3430.,1537.,1426.,251.,2945.
1547.,2933.,1547.,1903.,1547.,2332.,1547.,3420.,1547.,1383.,252.,2984.
1557.,2931.,1557.,1892.,1557.,2329.,1557.,3410.,1557.,1359.,253.,3022.
1567.,2929.,1567.,1872.,1567.,2322.,1567.,3390.,1567.,1319.,254.,3055.
1577.,2936.,1577.,1862.,1577.,2335.,1577.,3384.,1577.,1281.,255.,3077.
1587.,2955.,1587.,1863.,1587.,2356.,1587.,3376.,1587.,1258.,256.,3088.
1597.,2987.,1597.,1883.,1597.,2393.,1597.,3363.,1597.,1230.,257.,3091.
1607.,3026.,1607.,1911.,1607.,2435.,1607.,3356.,1607.,1232.,258.,3078.
1617.,3066.,1617.,1959.,1617.,2516.,1617.,3349.,1617.,1230.,259.,3070.
1627.,3114.,1627.,2024.,1627.,2576.,1627.,3341.,1627.,1252.,260.,3059.
1637.,3185.,1637.,2093.,1637.,2680.,1637.,3331.,1637.,1272.,261.,3050.
1647.,3253.,1647.,2212.,1647.,2803.,1647.,3327.,1647.,1308.,262.,3042.
1657.,3321.,1657.,2344.,1657.,2922.,1657.,3319.,1657.,1350.,263.,3031.
1667.,3390.,1667.,2496.,1667.,3059.,1667.,3312.,1667.,1396.,264.,3011.
1677.,3454.,1677.,2626.,1677.,3178.,1677.,3305.,1677.,1474.,265.,2988.
1687.,3516.,1687.,2745.,1687.,3303.,1687.,3298.,1687.,1533.,266.,2963.
1697.,3568.,1697.,2840.,1697.,3404.,1697.,3287.,1697.,1589.,267.,2935.
1707.,3586.,1707.,2906.,1707.,3487.,1707.,3278.,1707.,1608.,268.,2914.
1717.,3617.,1717.,2927.,1717.,3526.,1717.,3263.,1717.,1569.,269.,2885.
1727.,3625.,1727.,2900.,1727.,3566.,1727.,3256.,1727.,1488.,270.,2866.
1737.,3625.,1737.,2827.,1737.,3550.,1737.,3248.,1737.,1318.,271.,2854.
1747.,3608.,1747.,2756.,1747.,3496.,1747.,3242.,1747.,1159.,272.,2838.
1757.,3580.,1757.,2674.,1757.,3422.,1757.,3239.,1757.,1044.,273.,2822.
1767.,3561.,1767.,2590.,1767.,3324.,1767.,3233.,1767.,978.,274.,2810.
1777.,3511.,1777.,2534.,1777.,3234.,1777.,3235.,1777.,968.,275.,2804.
1787.,3456.,1787.,2463.,1787.,3126.,1787.,3237.,1787.,1017.,276.,2803.
1797.,3417.,1797.,2412.,1797.,3051.,1797.,3242.,1797.,1129.,277.,2801.
1807.,3360.,1807.,2363.,1807.,2964.,1807.,3248.,1807.,1247.,278.,2795.
1817.,3316.,1817.,2318.,1817.,2888.,1817.,3256.,1817.,1362.,279.,2781.
1827.,3275.,1827.,2289.,1827.,2813.,1827.,3272.,1827.,1440.,280.,2753.
1837.,3230.,1837.,2265.,1837.,2774.,1837.,3289.,1837.,1515.,281.,2729.
1847.,3189.,1847.,2213.,1847.,2716.,1847.,3303.,1847.,1522.,282.,2702.
1857.,3162.,1857.,2161.,1857.,2661.,1857.,3314.,1857.,1510.,283.,2684.
1867.,3126.,1867.,2112.,1867.,2608.,1867.,3326.,1867.,1469.,284.,2673.
1877.,3092.,1877.,2063.,1877.,2556.,1877.,3348.,1877.,1440.,285.,2655.
1887.,3068.,1887.,2034.,1887.,2522.,1887.,3368.,1887.,1402.,286.,2620.
1897.,3051.,1897.,1985.,1897.,2464.,1897.,3383.,1897.,1366.,287.,2586.
1907.,3018.,1907.,1945.,1907.,2417.,1907.,3395.,1907.,1335.,288.,2557.
1917.,2989.,1917.,1912.,1917.,2380.,1917.,3406.,1917.,1321.,289.,2540.
1927.,2971.,1927.,1901.,1927.,2360.,1927.,3420.,1927.,1325.,290.,2515.
1937.,2959.,1937.,1892.,1937.,2343.,1937.,3426.,1937.,1325.,291.,2485.
1947.,2958.,1947.,1897.,1947.,2345.,1947.,3434.,1947.,1332.,292.,2464.
1957.,2972.,1957.,1904.,1957.,2356.,1957.,3433.,1957.,1337.,293.,2430.
1967.,2987.,1967.,1920.,1967.,2382.,1967.,3438.,1967.,1339.,294.,2414.
1977.,3024.,1977.,1962.,1977.,2418.,1977.,3439.,1977.,1351.,295.,2397.
1987.,3057.,1987.,2024.,1987.,2462.,1987.,3440.,1987.,1366.,296.,2380.
1997.,3090.,1997.,2091.,1997.,2550.,1997.,3441.,1997.,1394.,297.,2368.
2007.,3142.,2007.,2187.,2007.,2628.,2007.,3443.,2007.,1449.,298.,2358.
2017.,3196.,2017.,2295.,2017.,2726.,2017.,3439.,2017.,1532.,299.,2350.
2027.,3257.,2027.,2399.,2027.,2813.,2027.,3440.,2027.,1675.,300.,2335.
2037.,3314.,2037.,2482.,2037.,2903.,2037.,3439.,2037.,1791.,300.,2336.
2047.,3357.,2047.,2550.,2047.,2990.,2047.,3438.,2047.,1887.,,
2057.,3410.,2057.,2611.,2057.,3062.,2057.,3430.,2057.,1920.,,
2067.,3452.,2067.,2685.,2067.,3140.,2067.,3423.,2067.,1938.,,
2077.,3502.,2077.,2777.,2077.,3236.,2077.,3415.,2077.,1926.,,
2087.,3551.,2087.,2860.,2087.,3324.,2087.,3409.,2087.,1913.,,
2097.,3575.,2097.,2957.,2097.,3426.,2097.,3404.,2097.,1898.,,
2107.,3601.,2107.,3053.,2107.,3510.,2107.,3393.,2107.,1870.,,
2117.,3621.,2117.,3109.,2117.,3573.,2117.,3383.,2117.,1843.,,
2127.,3633.,2127.,3157.,2127.,3579.,2127.,3374.,2127.,1835.,,
2137.,3636.,2137.,3166.,2137.,3613.,2137.,3369.,2137.,1856.,,
2147.,3630.,2147.,3124.,2147.,3586.,2147.,3358.,2147.,1899.,,
2157.,3611.,2157.,3065.,2157.,3558.,2157.,3351.,2157.,1935.,,
2167.,3585.,2167.,2994.,2167.,3485.,2167.,3344.,2167.,1969.,,
2177.,3568.,2177.,2910.,2177.,3404.,2177.,3344.,2177.,1973.,,
2187.,3536.,2187.,2817.,2187.,3320.,2187.,3341.,2187.,1957.,,
2197.,3488.,2197.,2755.,2197.,3238.,2197.,3337.,2197.,1931.,,
2207.,3441.,2207.,2701.,2207.,3159.,2207.,3337.,2207.,1953.,,
2217.,3390.,2217.,2658.,2217.,3075.,2217.,3338.,2217.,2014.,,
2227.,3334.,2227.,2607.,2227.,3026.,2227.,3335.,2227.,2047.,,
2237.,3303.,2237.,2562.,2237.,2949.,2237.,3334.,2237.,2085.,,
2247.,3252.,2247.,2541.,2247.,2875.,2247.,3335.,2247.,2096.,,
2257.,3211.,2257.,2501.,2257.,2844.,2257.,3349.,2257.,2087.,,
2267.,3182.,2267.,2462.,2267.,2802.,2267.,3355.,2267.,2080.,,
2277.,3148.,2277.,2421.,2277.,2757.,2277.,3358.,2277.,2047.,,
2287.,3120.,2287.,2400.,2287.,2725.,2287.,3366.,2287.,2035.,,
2297.,3095.,2297.,2360.,2297.,2682.,2297.,3372.,2297.,2015.,,
2307.,3073.,2307.,2331.,2307.,2657.,2307.,3378.,2307.,1980.,,
2317.,3066.,2317.,2303.,2317.,2636.,2317.,3389.,2317.,1955.,,
2327.,3065.,2327.,2295.,2327.,2620.,2327.,3402.,2327.,1917.,,
2337.,3061.,2337.,2294.,2337.,2625.,2337.,3416.,2337.,1892.,,
2347.,3071.,2347.,2319.,2347.,2653.,2347.,3427.,2347.,1876.,,
2357.,3087.,2357.,2396.,2357.,2696.,2357.,3437.,2357.,1888.,,
2367.,3112.,2367.,2485.,2367.,2751.,2367.,3446.,2367.,1946.,,
2377.,3145.,2377.,2564.,2377.,2807.,2377.,3462.,2377.,2072.,,
2387.,3171.,2387.,2619.,2387.,2846.,2387.,3477.,2387.,2247.,,
2397.,3196.,2397.,2639.,2397.,2872.,2397.,3486.,2397.,2369.,,
2407.,3231.,2407.,2636.,2407.,2899.,2407.,3501.,2407.,2395.,,
2417.,3258.,2417.,2634.,2417.,2916.,2417.,3512.,2417.,2348.,,
2427.,3297.,2427.,2646.,2427.,2933.,2427.,3514.,2427.,2296.,,
2437.,3326.,2437.,2676.,2437.,2978.,2437.,3530.,2437.,2263.,,
2447.,3373.,2447.,2725.,2447.,3032.,2447.,3535.,2447.,2244.,,
2457.,3426.,2457.,2789.,2457.,3075.,2457.,3543.,2457.,2244.,,
2467.,3474.,2467.,2851.,2467.,3155.,2467.,3543.,2467.,2264.,,
2477.,3527.,2477.,2927.,2477.,3233.,2477.,3544.,2477.,2275.,,
2487.,3559.,2487.,2997.,2487.,3296.,2487.,3540.,2487.,2286.,,
2497.,3595.,2497.,3064.,2497.,3396.,2497.,3535.,2497.,2289.,,
2507.,3633.,2507.,3117.,2507.,3475.,2507.,3529.,2507.,2291.,,
